Standard,Frequency(Hz),Channel BW(Hz),Data Rate/MCS Index,Frame Format,Payload Length,Power Level,# Packets Transmitted,#Packets Received,PER(%),Measurment Time(min)
802.11 A/G OFDM,2437000000,20000000,6Mbps,OFDM,134,-92,200,190,5,
802.11 A/G OFDM,2437000000,20000000,6Mbps,OFDM,134,-93,200,149,25.5,
802.11 A/G OFDM,2437000000,20000000,6Mbps,OFDM,134,-94,200,90,55,
802.11 A/G OFDM,2437000000,20000000,6Mbps,OFDM,134,-95,200,12,94,
802.11 A/G OFDM,2437000000,20000000,6Mbps,OFDM,134,-96,200,0,100,
802.11 A/G OFDM,2437000000,20000000,6Mbps,OFDM,134,-97,200,0,100,
802.11 A/G OFDM,2437000000,20000000,6Mbps,OFDM,134,-98,200,0,100,
802.11 A/G OFDM,2437000000,20000000,6Mbps,OFDM,134,-99,200,0,100,
802.11 A/G OFDM,2437000000,20000000,6Mbps,OFDM,134,-100,200,0,100,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-15,200,199,0.5,0.046
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-16,200,200,0,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-17,200,200,0,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-18,200,200,0,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-19,200,200,0,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-20,200,200,0,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-21,200,200,0,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-22,200,199,0.5,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-23,200,200,0,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-24,200,199,0.5,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-25,200,198,1,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-26,200,198,1,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-31,200,197,1.5,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-36,200,200,0,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-41,200,200,0,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-46,200,200,0,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-51,200,200,0,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-56,200,200,0,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-61,200,200,0,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-66,200,200,0,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-71,200,200,0,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-76,200,200,0,
