Channel Frequency(Hz),Power Level(dBm),Channel Bandwidth(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time,IQ demod Meas Time,RMS EVM(dB),Min Peak Power(dBm),Max Peak Power(dBm),Avg. Power(dBm),Min Avg. Power(dBm),Max Avg. Power(dBm),Frequency Offset(ppm),SampleClockOffset(ppm),Carrier Suppression(dB),GainImbalance(dB),Skew(deg),Ramp Up (uS),Ramp Dn(uS)
2432000000.000000,6.000000,20000000.000000,1Mbps,DSSS/CCK,0.302000,0.093000,-18.310000,8.910000,8.910000,6.360000,6.350000,6.360000,-1.710000,-2.070000,-44.650000,21474836.470000,21474836.470000,0.260000,0.080000
2432000000.000000,8.000000,20000000.000000,1Mbps,DSSS/CCK,0.303000,0.100000,-18.400000,10.870000,10.920000,8.330000,8.320000,8.330000,-1.700000,-1.930000,-48.090000,21474836.470000,21474836.470000,0.260000,0.080000
2432000000.000000,10.000000,20000000.000000,1Mbps,DSSS/CCK,0.303000,0.094000,-18.350000,12.510000,12.960000,10.310000,10.020000,10.450000,-1.680000,-1.910000,-45.070000,21474836.470000,21474836.470000,0.260000,0.080000
2432000000.000000,12.000000,20000000.000000,1Mbps,DSSS/CCK,0.303000,0.095000,-18.400000,14.980000,15.010000,12.520000,12.510000,12.520000,-1.680000,-1.920000,-40.340000,21474836.470000,21474836.470000,0.260000,0.080000
2432000000.000000,14.000000,20000000.000000,1Mbps,DSSS/CCK,0.302000,0.095000,-18.420000,16.760000,16.800000,14.340000,14.340000,14.340000,-1.690000,-1.970000,-43.040000,21474836.470000,21474836.470000,0.260000,0.090000
2432000000.000000,16.000000,20000000.000000,1Mbps,DSSS/CCK,7.302000,0.094000,-18.470000,18.630000,18.650000,16.330000,16.320000,16.330000,-1.850000,-2.160000,-51.930000,21474836.470000,21474836.470000,0.260000,0.090000
2412000000.000000,1.000000,20000000.000000,11CCK,DSSS/CCK,0.303000,0.088000,-18.140000,4.100000,4.180000,1.410000,1.410000,1.410000,-1.740000,-1.830000,-40.110000,0.210000,0.020000,0.260000,0.260000
2412000000.000000,2.000000,20000000.000000,11CCK,DSSS/CCK,0.302000,0.088000,-18.200000,5.170000,5.230000,2.470000,2.470000,2.470000,-1.710000,-1.730000,-41.850000,0.200000,-0.040000,0.260000,0.240000
2412000000.000000,4.000000,20000000.000000,11CCK,DSSS/CCK,0.302000,0.085000,-18.060000,6.310000,6.330000,3.720000,3.720000,3.720000,-1.700000,-1.950000,-33.680000,0.200000,-0.080000,0.260000,0.240000
2412000000.000000,6.000000,20000000.000000,11CCK,DSSS/CCK,0.302000,0.087000,-18.020000,8.310000,8.450000,5.740000,5.730000,5.740000,-1.680000,-1.870000,-35.500000,0.210000,-0.090000,0.260000,0.260000
2412000000.000000,8.000000,20000000.000000,11CCK,DSSS/CCK,0.302000,0.086000,-18.100000,10.210000,10.250000,7.670000,7.660000,7.670000,-1.670000,-2.120000,-38.760000,0.200000,-0.030000,0.260000,0.240000
2412000000.000000,10.000000,20000000.000000,11CCK,DSSS/CCK,0.302000,0.085000,-18.040000,11.890000,12.010000,9.380000,9.380000,9.380000,-1.660000,-2.050000,-35.180000,0.200000,-0.080000,0.270000,0.260000
2412000000.000000,12.000000,20000000.000000,11CCK,DSSS/CCK,0.302000,0.084000,-18.090000,13.820000,13.890000,11.330000,11.320000,11.330000,-1.650000,-2.230000,-37.570000,0.210000,-0.090000,0.260000,0.160000
2412000000.000000,14.000000,20000000.000000,11CCK,DSSS/CCK,0.302000,0.087000,-18.060000,15.780000,16.270000,13.460000,13.290000,13.790000,-1.660000,-2.370000,-35.600000,0.200000,-0.070000,0.270000,0.250000
2412000000.000000,16.000000,20000000.000000,11CCK,DSSS/CCK,7.302000,0.087000,-18.050000,17.970000,18.010000,15.590000,15.590000,15.590000,-1.770000,-2.920000,-37.010000,0.210000,-0.120000,0.270000,0.240000
2432000000.000000,1.000000,20000000.000000,11CCK,DSSS/CCK,0.303000,0.087000,-18.180000,4.950000,5.000000,2.250000,2.240000,2.250000,-1.540000,-1.590000,-49.850000,0.130000,-0.290000,0.260000,0.150000
2432000000.000000,2.000000,20000000.000000,11CCK,DSSS/CCK,0.302000,0.086000,-17.980000,5.070000,5.150000,2.510000,2.510000,2.520000,-1.530000,-1.830000,-44.900000,0.130000,-0.320000,0.260000,0.260000
2432000000.000000,4.000000,20000000.000000,11CCK,DSSS/CCK,0.303000,0.085000,-18.000000,7.080000,7.090000,4.470000,4.470000,4.470000,-1.520000,-1.920000,-48.750000,0.130000,-0.300000,0.250000,0.160000
2432000000.000000,6.000000,20000000.000000,11CCK,DSSS/CCK,0.302000,0.088000,-18.030000,8.980000,9.090000,6.430000,6.430000,6.430000,-1.510000,-1.840000,-44.660000,0.140000,-0.250000,0.260000,0.260000
2432000000.000000,8.000000,20000000.000000,11CCK,DSSS/CCK,0.303000,0.087000,-18.100000,10.980000,11.030000,8.390000,8.390000,8.390000,-1.490000,-1.920000,-47.900000,0.130000,-0.240000,0.260000,0.150000
2432000000.000000,10.000000,20000000.000000,11CCK,DSSS/CCK,0.302000,0.086000,-18.010000,12.610000,12.680000,10.100000,10.100000,10.100000,-1.500000,-2.100000,-48.880000,0.140000,-0.280000,0.260000,0.260000
2432000000.000000,12.000000,20000000.000000,11CCK,DSSS/CCK,0.302000,0.087000,-18.080000,14.500000,14.520000,12.020000,12.020000,12.030000,-1.490000,-2.270000,-47.260000,0.140000,-0.300000,0.260000,0.150000
2432000000.000000,14.000000,20000000.000000,11CCK,DSSS/CCK,0.302000,0.087000,-18.030000,16.430000,16.940000,14.290000,13.960000,14.450000,-1.490000,-2.430000,-41.950000,0.140000,-0.320000,0.260000,0.250000
2432000000.000000,16.000000,20000000.000000,11CCK,DSSS/CCK,0.302000,0.085000,-18.000000,18.820000,18.830000,16.530000,16.530000,16.530000,-1.500000,-2.920000,-53.310000,0.120000,-0.270000,0.260000,0.160000
